token_addr_idx,top1_holder_ratio,pair_holder_ratio,top10_holder_ratio,top20_holder_ratio,token_creator_holder_ratio,price_ratio_realized_vol,price_ratio_range,reserve_base_realized_vol,reserve_quote_realized_vol,swap_buy_share,swap_net_flow_ratio,swap_direction_switch_freq
0,0.972,0.0002,1.0001,1.0001,0.972,0.0043236395589552725,0.13493024809999987,0.9530538183869823,2.6477842978690402,0.0,-1.0,0.0
1,0.85,0.0835,0.9999999999999999,0.9999999999999999,0.85,0.25415639022924513,7.95731854124,0.1739115044289551,0.7371872848260428,0.3876081536397371,-0.22478369272052573,0.30434782608695654
2,0.8144,0.0,1.0001,1.0001,0.8144,0.011797777517372831,0.49075391197999974,21.372289269504634,23.773749264135272,0.17559330857475328,-0.6488133828504934,0.0
3,0.7809,0.0,1.0,1.0,0.7809,0.02274850148534423,0.6503533795400003,11.660752392588506,13.395336165836662,0.27067974004754486,-0.4586405199049104,0.5
4,0.9171,0.0,0.9925,1.0001,0.9171,0.007575260437137056,0.4030592990200006,6.891930712117551,7.98880703015042,0.29082201258807594,-0.41835597482384806,0.22727272727272727
5,1.0,0.0,1.0,1.0,1.0,0.11224130829772197,0.05951233400900002,0.05564867801486985,0.04809993126739195,1.3589627910448275e-05,-0.999972820744179,1.0
6,1.0,0.0,1.0,1.0,1.0,1.7614744632149302,0.02143736197592,8.723400309072856,5.748425855154521,0.9374702238320367,0.8749404476640733,0.8333333333333334
7,0.5,0.0,1.0,1.0,0.5,0.02340399279318763,0.27899194995,14.73207986173632,17.565197679705946,0.5019303540746523,0.0038607081493045137,0.3333333333333333
8,0.9037,0.0,0.9997999999999999,0.9999999999999999,0.9037,0.049394948671333185,0.8923259437899995,0.035813329687160646,0.14932898946059386,0.035052410827563676,-0.9298951783448727,0.25
9,0.504,0.0,1.0,1.0,0.1786,0.020385477063402654,1.31525570158,0.004798318379615007,0.008684591558228719,0.37146541097858876,-0.2570691780428225,0.3333333333333333
